permissao_id,modulo,recurso,acao,nome,descricao,sensibilidade,escopo_obra,estado_protecao,evidencia,ativo,criado_em,criado_por,atualizado_em,atualizado_por
00000000-0000-4000-8000-000000000011,administracao,catalogo_permissao,visualizar,Consultar catálogo canônico,Exibe capacidades reconhecidas sem conceder acesso,crítica,nao,completa,pages/administracao.py:_render_catalogo_permissoes,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000012,dados,cadastro,visualizar,Consultar cadastros,Exibe equipamentos materiais e bases auxiliares,baixa,nao,parcial,app.py:pode_acessar_rota + pages/dados.py:crud,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000013,dados,cadastro,criar,Criar cadastro,Inclui item em base auxiliar,média,nao,completa,pages/dados.py:_salvar_cadastro,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000014,dados,cadastro,editar,Editar cadastro,Altera item em base auxiliar,média,nao,completa,pages/dados.py:_salvar_cadastro,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000015,dados,cadastro,excluir,Excluir cadastro,Remove item de base auxiliar,alta,nao,completa,pages/dados.py:_salvar_cadastro,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000016,dados,atestado,visualizar,Consultar atestados,Exibe atestados e serviços vinculados,baixa,nao,parcial,app.py:pode_acessar_rota + pages/dados.py:render_atestados,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000017,dados,atestado,criar,Criar atestado,Inclui atestado ou serviço vinculado,média,nao,completa,pages/dados.py:_salvar_atestados_seguro,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000018,dados,atestado,editar,Editar atestado,Altera metadados de atestado,média,nao,completa,pages/dados.py:_salvar_atestados_seguro,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000019,dados,atestado,excluir,Excluir atestado,Remove atestado e serviços vinculados,alta,nao,completa,pages/dados.py:_publicar_exclusao_composta,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000020,dados,local_trabalho,visualizar,Consultar locais de trabalho,Exibe locais associados a obra,média,sim,parcial,pages/dados_detalhados/locais_trabalho.py:render_locais_trabalho,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000021,dados,local_trabalho,criar,Criar local de trabalho,Inclui local associado a obra,alta,sim,inexistente,pages/dados_detalhados/locais_trabalho.py:salvar_locais_seguro,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000022,ferias,registro,visualizar,Consultar férias e folgas,Exibe dados pessoais e históricos,alta,nao,parcial,pages/ferias.py:render,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000023,ferias,ferias,criar,Criar férias,Inclui programação de férias,média,nao,parcial,pages/ferias.py:salvar_csv_seguro recurso registros,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000024,ferias,ferias,editar,Editar férias,Altera programação de férias,alta,nao,parcial,pages/ferias.py:salvar_csv_seguro recurso registros,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000025,ferias,ferias,excluir,Excluir férias,Remove registro de férias,alta,nao,parcial,pages/ferias.py:salvar_csv_seguro recurso registros,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000026,ferias,folga,criar,Criar folga,Inclui registro de folga,média,nao,parcial,pages/ferias.py:salvar_csv_seguro recurso registros,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000027,ferias,folga,editar,Editar folga,Altera registro de folga,alta,nao,parcial,pages/ferias.py:salvar_csv_seguro recurso registros,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000028,ferias,folga,excluir,Excluir folga,Remove registro de folga,alta,nao,parcial,pages/ferias.py:salvar_csv_seguro recurso registros,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000029,prestacao_contas,despesa,visualizar,Consultar despesas,Exibe despesas próprias ou de terceiros conforme perfil,alta,nao,parcial,pages/prestacao_contas.py:render_minhas_despesas + render_todas_despesas,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000030,prestacao_contas,despesa,criar,Criar despesa,Registra despesa e comprovante,média,nao,completa,pages/prestacao_contas.py:render_nova_despesa,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000031,prestacao_contas,decisao_despesa,aprovar,Decidir despesa,Aprova ou reprova despesa com mesma autoridade,alta,nao,completa,pages/prestacao_contas.py:render_todas_despesas,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000032,prestacao_contas,pagamento,editar,Marcar pagamento,Altera estado da despesa para pago,alta,nao,completa,pages/prestacao_contas.py:render_todas_despesas,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000033,prestacao_contas,tipo_despesa,visualizar,Consultar tipos de despesa,Exibe cadastro administrativo de tipos,alta,nao,completa,pages/prestacao_contas.py:render_tipos_despesa,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000034,prestacao_contas,tipo_despesa,criar,Criar tipo de despesa,Inclui tipo disponível para lançamentos,alta,nao,completa,pages/prestacao_contas.py:render_tipos_despesa,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000035,medicoes,medicao,visualizar,Consultar medições,Exibe obras BMs frentes MCs e itens,alta,sim,específica de Medições,modulos/medicoes/permissoes.py:tem_acesso_medicoes,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000036,medicoes,medicao,criar,Criar medição,Cria obra BM frente MC e itens,alta,sim,específica de Medições,modulos/medicoes/permissoes.py:pode_criar_medicao,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000037,medicoes,medicao,editar,Editar medição,Altera estrutura e dados da medição,alta,sim,específica de Medições,modulos/medicoes/permissoes.py:acesso_total_medicoes,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000038,medicoes,lancamento,visualizar,Consultar lançamentos,Exibe produção vinculada a obra,alta,sim,específica de Medições,modulos/medicoes/permissoes.py:pode_visualizar_lancamentos,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000039,medicoes,lancamento,criar,Criar lançamento,Registra trabalho executado,alta,sim,específica de Medições,modulos/medicoes/permissoes.py:pode_lancar_trabalho,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000040,medicoes,lancamento,aprovar,Aprovar lançamento,Decide lançamento de produção,alta,sim,específica de Medições,modulos/medicoes/permissoes.py:pode_aprovar_lancamentos,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000041,crm,cliente,visualizar,Consultar clientes,Exibe dados comerciais de clientes,alta,nao,parcial,app.py:pode_acessar_rota + pages/crm/etapa1_clientes.py:tela_clientes,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000042,crm,cliente,criar,Criar cliente,Inclui cliente no CRM,média,nao,completa,pages/crm/repositorio.py:cadastrar_cliente,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000043,crm,cliente,editar,Editar cliente,Altera cadastro comercial,alta,nao,completa,pages/crm/repositorio.py:atualizar_cliente,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000044,crm,contato,visualizar,Consultar contatos,Exibe dados pessoais de contatos,alta,nao,parcial,pages/crm/etapa2_contatos.py:tela_contatos,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000045,crm,contato,criar,Criar contato,Inclui contato associado a cliente,média,nao,completa,pages/crm/repositorio.py:cadastrar_contato,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000046,crm,contato,editar,Editar contato,Altera dados pessoais de contato,alta,nao,completa,pages/crm/repositorio.py:atualizar_contato,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000047,crm,interacao,visualizar,Consultar interações,Exibe histórico comercial,alta,nao,parcial,pages/crm/etapa3_interacoes.py:tela_interacoes,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000048,crm,interacao,criar,Criar interação,Registra interação e atualiza cliente,média,nao,completa,pages/crm/repositorio.py:cadastrar_interacao_composta,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000049,uniformes_epis,estoque,visualizar,Consultar estoque e posse,Exibe posição por local obra e funcionário,alta,sim,parcial,pages/uniformes_epis.py:render,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000050,uniformes_epis,item,criar,Criar item,Cadastra uniforme ou EPI,média,nao,parcial,pages/uniformes_epis.py:_render_itens guarda cadastros editar,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000051,uniformes_epis,compra,criar,Registrar compra,Inclui aquisição e valor financeiro,alta,sim,parcial,pages/uniformes_epis.py:_render_compras guarda cadastros editar,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000052,uniformes_epis,movimentacao,criar,Registrar movimentação,Transfere estoque entre locais e obras,alta,sim,parcial,pages/uniformes_epis.py:_render_movimentacoes guarda cadastros editar,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000053,uniformes_epis,entrega,criar,Registrar entrega,Transfere item para posse de funcionário,alta,sim,parcial,pages/uniformes_epis.py:_render_entrega guarda cadastros editar,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000054,uniformes_epis,devolucao,criar,Registrar devolução,Retorna item de funcionário ao estoque,alta,sim,parcial,pages/uniformes_epis.py:_render_devolucao guarda cadastros editar,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000055,uniformes_epis,baixa,criar,Registrar baixa,Remove item da posse sem retorno ao estoque,alta,sim,parcial,pages/uniformes_epis.py:_render_baixa guarda cadastros editar,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000056,obras,obra,visualizar,Consultar obras,Exibe lista consolidada de obras,baixa,nao,completa,app.py:pode_acessar_rota + app.py rota obras,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000057,orcamento,orcamento,visualizar,Consultar orçamentos,Exibe índice e versões no novo e legado,média,nao,parcial,app.py:pode_acessar_rota + modulos/orcamentos/apresentacao/painel.py:render,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000058,orcamento,orcamento,criar,Criar orçamento,Cria orçamento e primeira versão ou rascunho,alta,nao,parcial,modulos/orcamentos/apresentacao/painel.py:_criar_e_abrir usa guarda editar,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000059,orcamento,orcamento,editar,Editar orçamento,Persiste rascunho ou documento de versão,alta,nao,completa,modulos/orcamentos/persistencia/github_repositorio.py:persistir_versao,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000060,orcamento,cliente,criar,Criar cliente do orçamento,Inclui cliente na base legada,média,nao,completa,pages/orcamento/etapa0.py:etapa0,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
00000000-0000-4000-8000-000000000061,orcamento,insumo,editar,Editar insumos,Altera catálogo de insumos do orçamento,alta,nao,completa,pages/orcamento/etapa3.py:etapa3,sim,2026-08-05T00:00:00+00:00,sistema,2026-08-05T00:00:00+00:00,sistema
