fonte,codigo,item,descricao,unidade,quantidade_base,custo_unitario_sem_bdi,bdi,preco_unitario_com_bdi,preco_total,ativo,pagina_pdf
C SINAPI,91930,12,"Cabo De Cobre Flexível Isolado, 6 Mm², Anti-Chama 450/750 V, Para Circuitos Terminais - Fornecimento E Instalação. Af_03/2023",M,1.0,10.15,26.93,12.87,12.87,Sim,1
C SINAPI,95802,13,"Condulete De Alumínio, Tipo X, Para Eletroduto De Aço Galvanizado Dn 25 Mm (1''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,57.91,26.93,73.5,73.5,Sim,1
C SINAPI,95803,14,"Condulete De Alumínio, Tipo X, Para Eletroduto De Aço Galvanizado Dn 32 Mm (1 1/4''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,84.15,26.93,106.81,106.81,Sim,1
C SINAPI,95804,15,"Condulete De Pvc, Tipo B, Para Eletroduto De Pvc Soldável Dn 20 Mm (1/2''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,31.16,26.93,39.55,39.55,Sim,2
C SINAPI,95805,16,"Condulete De Pvc, Tipo B, Para Eletroduto De Pvc Soldável Dn 25 Mm (3/4''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,32.8,26.93,41.63,41.63,Sim,2
C SINAPI,95806,17,"Condulete De Pvc, Tipo B, Para Eletroduto De Pvc Soldável Dn 32 Mm (1''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,35.87,26.93,45.52,45.52,Sim,2
C SINAPI,104401,18,"Condulete De Pvc, Tipo C, Para Eletroduto De Pvc Soldável Dn 20 Mm (1/2''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,34.64,26.93,43.96,43.96,Sim,2
C SINAPI,104402,19,"Condulete De Pvc, Tipo C, Para Eletroduto De Pvc Soldável Dn 25 Mm (3/4''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,35.89,26.93,45.54,45.54,Sim,2
C SINAPI,104403,20,"Condulete De Pvc, Tipo C, Para Eletroduto De Pvc Soldável Dn 32 Mm (1''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,44.66,26.93,56.69,56.69,Sim,2
C SINAPI,104395,21,"Condulete De Pvc, Tipo E, Para Eletroduto De Pvc Soldável Dn 20 Mm (1/2''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,30.4,26.93,38.58,38.58,Sim,2
C SINAPI,104396,22,"Condulete De Pvc, Tipo E, Para Eletroduto De Pvc Soldável Dn 25 Mm (3/4''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,30.76,26.93,39.04,39.04,Sim,2
C SINAPI,104397,23,"Condulete De Pvc, Tipo E, Para Eletroduto De Pvc Soldável Dn 32 Mm (1''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,36.84,26.93,46.76,46.76,Sim,2
C SINAPI,95810,24,"Condulete De Pvc, Tipo Lb, Para Eletroduto De Pvc Soldável Dn 20 Mm (1/2''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,23.82,26.93,30.23,30.23,Sim,2
C SINAPI,95811,25,"Condulete De Pvc, Tipo Lb, Para Eletroduto De Pvc Soldável Dn 25 Mm (3/4''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,28.72,26.93,36.45,36.45,Sim,2
C SINAPI,95812,26,"Condulete De Pvc, Tipo Lb, Para Eletroduto De Pvc Soldável Dn 32 Mm (1''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,38.61,26.93,49.0,49.0,Sim,2
C SINAPI,95807,27,"Condulete De Pvc, Tipo Ll, Para Eletroduto De Pvc Soldável Dn 20 Mm (1/2''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,36.48,26.93,46.3,46.3,Sim,2
C SINAPI,95808,28,"Condulete De Pvc, Tipo Ll, Para Eletroduto De Pvc Soldável Dn 25 Mm (3/4''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,41.38,26.93,52.52,52.52,Sim,2
C SINAPI,95809,29,"Condulete De Pvc, Tipo Ll, Para Eletroduto De Pvc Soldável Dn 32 Mm (1''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,51.27,26.93,65.07,65.07,Sim,3
C SINAPI,104398,30,"Condulete De Pvc, Tipo Lr, Para Eletroduto De Pvc Soldável Dn 20 Mm (1/2''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,36.45,26.93,46.26,46.26,Sim,3
C SINAPI,104399,31,"Condulete De Pvc, Tipo Lr, Para Eletroduto De Pvc Soldável Dn 25 Mm (3/4''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,39.32,26.93,49.9,49.9,Sim,3
C SINAPI,104400,32,"Condulete De Pvc, Tipo Lr, Para Eletroduto De Pvc Soldável Dn 32 Mm (1''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,50.38,26.93,63.95,63.95,Sim,3
C SINAPI,104404,33,"Condulete De Pvc, Tipo T, Para Eletroduto De Pvc Soldável Dn 25 Mm (3/4''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,46.08,26.93,58.48,58.48,Sim,3
C SINAPI,104405,34,"Condulete De Pvc, Tipo T, Para Eletroduto De Pvc Soldável Dn 32 Mm (1''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,62.37,26.93,79.16,79.16,Sim,3
C SINAPI,95813,35,"Condulete De Pvc, Tipo Tb, Para Eletroduto De Pvc Soldável Dn 20 Mm (1/2''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,27.51,26.93,34.91,34.91,Sim,3
C SINAPI,95814,36,"Condulete De Pvc, Tipo Tb, Para Eletroduto De Pvc Soldável Dn 25 Mm (3/4''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,34.06,26.93,43.23,43.23,Sim,3
C SINAPI,95815,37,"Condulete De Pvc, Tipo Tb, Para Eletroduto De Pvc Soldável Dn 32 Mm (1''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,49.71,26.93,63.09,63.09,Sim,3
C SINAPI,95816,38,"Condulete De Pvc, Tipo X, Para Eletroduto De Pvc Soldável Dn 20 Mm (1/2''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,44.28,26.93,56.21,56.21,Sim,3
C SINAPI,95817,39,"Condulete De Pvc, Tipo X, Para Eletroduto De Pvc Soldável Dn 25 Mm (3/4""), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,51.7,26.93,65.62,65.62,Sim,3
C SINAPI,95818,40,"Condulete De Pvc, Tipo X, Para Eletroduto De Pvc Soldável Dn 32 Mm (1''), Aparente - Fornecimento E Instalação. Af_10/2022",UN,1.0,71.92,26.93,91.29,91.29,Sim,3
C SINAPI,101884,41,"Cabo De Cobre Isolado, 10 Mm², Anti-Chama 450/750 V, Instalado Em Eletrocalha Ou Perfilado - Fornecimento E Instalação. Af_07/2025",M,1.0,10.96,26.93,13.91,13.91,Sim,3
C SINAPI,101886,42,"Cabo De Cobre Isolado, 16 Mm², Anti-Chama 450/750 V, Instalado Em Eletrocalha Ou Perfilado - Fornecimento E Instalação. Af_07/2025",M,1.0,15.74,26.93,19.97,19.97,Sim,3
C SINAPI,101888,43,"Cabo De Cobre Isolado, 25 Mm², Anti-Chama 450/750 V, Instalado Em Eletrocalha Ou Perfilado - Fornecimento E Instalação. Af_07/2025",M,1.0,25.26,26.93,32.06,32.06,Sim,4
C SINAPI,101938,44,Caixa De Proteção Para Medidor Monofásico De Embutir - Fornecimento E Instalação. Af_07/2025,UN,1.0,198.55,26.93,252.01,252.01,Sim,4
C SINAPI,101904,45,Contator Tripolar I Nomimal 95A - Fornecimento E Instalação. Af_07/2025,UN,1.0,1493.91,26.93,1896.21,1896.21,Sim,4
C SINAPI,101901,46,Contator Tripolar I Nominal 12A - Fornecimento E Instalação. Af_07/2025,UN,1.0,156.49,26.93,198.63,198.63,Sim,4
C SINAPI,101902,47,Contator Tripolar I Nominal 22A - Fornecimento E Instalação. Af_07/2025,UN,1.0,192.78,26.93,244.69,244.69,Sim,4
C SINAPI,101903,48,Contator Tripolar I Nominal 38A - Fornecimento E Instalação. Af_07/2025,UN,1.0,400.55,26.93,508.41,508.41,Sim,4
C SINAPI,101900,49,Disjuntor Baixa Tensão Tripolar A Seco 800A/600V - Fornecimento E Instalação. Af_07/2025,UN,1.0,4905.11,26.93,6226.05,6226.05,Sim,4
C SINAPI,106030,50,Disjuntor Bipolar Dr 63A - Fornecimento E Instalação. Af_07/2025,UN,1.0,189.89,26.93,241.02,241.02,Sim,4
C SINAPI,93660,51,"Disjuntor Bipolar Tipo Din, Corrente Nominal De 10A - Fornecimento E Instalação. Af_07/2025",UN,1.0,62.35,26.93,79.13,79.13,Sim,4
C SINAPI,93661,52,"Disjuntor Bipolar Tipo Din, Corrente Nominal De 16A - Fornecimento E Instalação. Af_07/2025",UN,1.0,62.35,26.93,79.13,79.13,Sim,4
C SINAPI,93662,53,"Disjuntor Bipolar Tipo Din, Corrente Nominal De 20A - Fornecimento E Instalação. Af_07/2025",UN,1.0,64.49,26.93,81.85,81.85,Sim,4
C SINAPI,93663,54,"Disjuntor Bipolar Tipo Din, Corrente Nominal De 25A - Fornecimento E Instalação. Af_07/2025",UN,1.0,66.74,26.93,84.71,84.71,Sim,4
C SINAPI,93664,55,"Disjuntor Bipolar Tipo Din, Corrente Nominal De 32A - Fornecimento E Instalação. Af_07/2025",UN,1.0,70.27,26.93,89.19,89.19,Sim,4
C SINAPI,93665,56,"Disjuntor Bipolar Tipo Din, Corrente Nominal De 40A - Fornecimento E Instalação. Af_07/2025",UN,1.0,75.01,26.93,95.2,95.2,Sim,4
C SINAPI,93666,57,"Disjuntor Bipolar Tipo Din, Corrente Nominal De 50A - Fornecimento E Instalação. Af_07/2025",UN,1.0,82.19,26.93,104.32,104.32,Sim,4
C SINAPI,93674,58,"Disjuntor Bipolar Tipo Dr, Corrente Nominal De 25A - Fornecimento E Instalação. Af_07/2025",UN,1.0,160.42,26.93,203.61,203.61,Sim,4
C SINAPI,93675,59,"Disjuntor Bipolar Tipo Dr, Corrente Nominal De 40A - Fornecimento E Instalação. Af_07/2025",UN,1.0,172.17,26.93,218.53,218.53,Sim,4
C SINAPI,101892,60,"Disjuntor Bipolar Tipo Nema, Corrente Nominal De 10 Até 50A - Fornecimento E Instalação. Af_07/2025",UN,1.0,78.74,26.93,99.94,99.94,Sim,5
C SINAPI,93653,61,"Disjuntor Monopolar Tipo Din, Corrente Nominal De 10A - Fornecimento E Instalação. Af_07/2025",UN,1.0,13.09,26.93,16.6,16.6,Sim,5
C SINAPI,93654,62,"Disjuntor Monopolar Tipo Din, Corrente Nominal De 16A - Fornecimento E Instalação. Af_07/2025",UN,1.0,13.09,26.93,16.6,16.6,Sim,5
C SINAPI,93655,63,"Disjuntor Monopolar Tipo Din, Corrente Nominal De 20A - Fornecimento E Instalação. Af_07/2025",UN,1.0,14.16,26.93,17.96,17.96,Sim,5
C SINAPI,93656,64,"Disjuntor Monopolar Tipo Din, Corrente Nominal De 25A - Fornecimento E Instalação. Af_07/2025",UN,1.0,15.29,26.93,19.4,19.4,Sim,5
C SINAPI,93657,65,"Disjuntor Monopolar Tipo Din, Corrente Nominal De 32A - Fornecimento E Instalação. Af_07/2025",UN,1.0,17.12,26.93,21.72,21.72,Sim,5
C SINAPI,93658,66,"Disjuntor Monopolar Tipo Din, Corrente Nominal De 40A - Fornecimento E Instalação. Af_07/2025",UN,1.0,24.51,26.93,31.1,31.1,Sim,5
C SINAPI,93659,67,"Disjuntor Monopolar Tipo Din, Corrente Nominal De 50A - Fornecimento E Instalação. Af_07/2025",UN,1.0,28.1,26.93,35.66,35.66,Sim,5
C SINAPI,101890,68,"Disjuntor Monopolar Tipo Nema, Corrente Nominal De 10 Até 30A - Fornecimento E Instalação. Af_07/2025",UN,1.0,17.02,26.93,21.6,21.6,Sim,5
C SINAPI,101891,69,"Disjuntor Monopolar Tipo Nema, Corrente Nominal De 35 Até 50A - Fornecimento E Instalação. Af_07/2025",UN,1.0,31.2,26.93,39.6,39.6,Sim,5
C SINAPI,101895,70,"Disjuntor Termomagnético Tripolar, Corrente Nominal De 125A - Fornecimento E Instalação. Af_07/2025",UN,1.0,469.0,26.93,595.29,595.29,Sim,5
C SINAPI,101896,71,"Disjuntor Termomagnético Tripolar, Corrente Nominal De 200A - Fornecimento E Instalação. Af_07/2025",UN,1.0,698.12,26.93,886.12,886.12,Sim,5
C SINAPI,101897,72,"Disjuntor Termomagnético Tripolar, Corrente Nominal De 250A - Fornecimento E Instalação. Af_07/2025",UN,1.0,1107.74,26.93,1406.05,1406.05,Sim,5
C SINAPI,101898,73,"Disjuntor Termomagnético Tripolar, Corrente Nominal De 400A - Fornecimento E Instalação. Af_07/2025",UN,1.0,1477.56,26.93,1875.47,1875.47,Sim,5
C SINAPI,101899,74,"Disjuntor Termomagnético Tripolar, Corrente Nominal De 600A - Fornecimento E Instalação. Af_07/2025",UN,1.0,2357.22,26.93,2992.01,2992.01,Sim,6
C SINAPI,93676,75,"Disjuntor Tetrapolar Tipo Dr, Corrente Nominal De 25A - Fornecimento E Instalação. Af_07/2025",UN,1.0,192.41,26.93,244.22,244.22,Sim,6
C SINAPI,97711,76,"Disjuntor Tetrapolar Tipo Dr, Corrente Nominal De 40A - Fornecimento E Instalação. Af_07/2025",UN,1.0,210.75,26.93,267.51,267.51,Sim,6
C SINAPI,106020,77,Disjuntor Tripolar Din 63A - Fornecimento E Instalação. Af_07/2025,UN,1.0,122.53,26.93,155.53,155.53,Sim,6
C SINAPI,93667,78,"Disjuntor Tripolar Tipo Din, Corrente Nominal De 10A - Fornecimento E Instalação. Af_07/2025",UN,1.0,78.27,26.93,99.34,99.34,Sim,6
C SINAPI,93668,79,"Disjuntor Tripolar Tipo Din, Corrente Nominal De 16A - Fornecimento E Instalação. Af_07/2025",UN,1.0,78.27,26.93,99.34,99.34,Sim,6
C SINAPI,93669,80,"Disjuntor Tripolar Tipo Din, Corrente Nominal De 20A - Fornecimento E Instalação. Af_07/2025",UN,1.0,81.48,26.93,103.41,103.41,Sim,6
C SINAPI,93670,81,"Disjuntor Tripolar Tipo Din, Corrente Nominal De 25A - Fornecimento E Instalação. Af_07/2025",UN,1.0,84.86,26.93,107.7,107.7,Sim,6
C SINAPI,93671,82,"Disjuntor Tripolar Tipo Din, Corrente Nominal De 32A - Fornecimento E Instalação. Af_07/2025",UN,1.0,90.16,26.93,114.43,114.43,Sim,6
C SINAPI,93672,83,"Disjuntor Tripolar Tipo Din, Corrente Nominal De 40A - Fornecimento E Instalação. Af_07/2025",UN,1.0,98.52,26.93,125.05,125.05,Sim,6
C SINAPI,93673,84,"Disjuntor Tripolar Tipo Din, Corrente Nominal De 50A - Fornecimento E Instalação. Af_07/2025",UN,1.0,109.3,26.93,138.73,138.73,Sim,6
C SINAPI,101893,85,"Disjuntor Tripolar Tipo Nema, Corrente Nominal De 10 Até 50A - Fornecimento E Instalação. Af_07/2025",UN,1.0,101.06,26.93,128.26,128.26,Sim,6
C SINAPI,101894,86,"Disjuntor Tripolar Tipo Nema, Corrente Nominal De 60 Até 100A - Fornecimento E Instalação. Af_07/2025",UN,1.0,175.39,26.93,222.61,222.61,Sim,6
C SINAPI,101875,87,"Quadro De Distribuição De Energia Em Chapa De Aço Galvanizado, De Embutir, Com Barramento Trifásico, Para 12 Disjuntores Din 100A - Fornecimento E Instalação. Af_07/2025",UN,1.0,391.42,26.93,496.82,496.82,Sim,6
C SINAPI,101883,88,"Quadro De Distribuição De Energia Em Chapa De Aço Galvanizado, De Embutir, Com Barramento Trifásico, Para 18 Disjuntores Din 100A - Fornecimento E Instalação. Af_07/2025",UN,1.0,521.35,26.93,661.74,661.74,Sim,7
C SINAPI,101879,89,"Quadro De Distribuição De Energia Em Chapa De Aço Galvanizado, De Embutir, Com Barramento Trifásico, Para 24 Disjuntores Din 100A - Fornecimento E Instalação. Af_07/2025",UN,1.0,542.83,26.93,689.01,689.01,Sim,7
C SINAPI,101880,90,"Quadro De Distribuição De Energia Em Chapa De Aço Galvanizado, De Embutir, Com Barramento Trifásico, Para 30 Disjuntores Din 150A - Fornecimento E Instalação. Af_07/2025",UN,1.0,633.5,26.93,804.1,804.1,Sim,7
C SINAPI,101882,91,"Quadro De Distribuição De Energia Em Chapa De Aço Galvanizado, De Embutir, Com Barramento Trifásico, Para 30 Disjuntores Din 225A - Fornecimento E Instalação. Af_07/2025",UN,1.0,1173.65,26.93,1489.7,1489.7,Sim,7
C SINAPI,101881,92,"Quadro De Distribuição De Energia Em Chapa De Aço Galvanizado, De Embutir, Com Barramento Trifásico, Para 40 Disjuntores Din 100A - Fornecimento E Instalação. Af_07/2025",UN,1.0,861.52,26.93,1093.53,1093.53,Sim,7
C SINAPI,101878,93,"Quadro De Distribuição De Energia Em Chapa De Aço Galvanizado, De Sobrepor, Com Barramento Trifásico, Para 18 Disjuntores Din 100A - Fornecimento E Instalação. Af_07/2025",UN,1.0,393.89,26.93,499.96,499.96,Sim,7
C SINAPI,101877,94,"Quadro De Distribuição De Energia Em Pvc, De Embutir, Sem Barramento, Para 3 Disjuntores - Fornecimento E Instalação. Af_07/2025",UN,1.0,105.75,26.93,134.22,134.22,Sim,7
C SINAPI,101876,95,"Quadro De Distribuição De Energia Em Pvc, De Embutir, Sem Barramento, Para 6 Disjuntores - Fornecimento E Instalação. Af_07/2025",UN,1.0,147.53,26.93,187.25,187.25,Sim,7
C SINAPI,97360,96,Quadro De Medição Geral De Energia Com 12 Medidores - Fornecimento E Instalação. Af_07/2025,UN,1.0,9848.04,26.93,12500.11,12500.11,Sim,7
C SINAPI,97361,97,Quadro De Medição Geral De Energia Com 16 Medidores - Fornecimento E Instalação. Af_07/2025,UN,1.0,13130.72,26.93,16666.81,16666.81,Sim,7
C SINAPI,97359,98,Quadro De Medição Geral De Energia Com 8 Medidores - Fornecimento E Instalação. Af_07/2025,UN,1.0,5103.06,26.93,6477.31,6477.31,Sim,7
C SINAPI,101946,99,Quadro De Medição Geral De Energia Para 1 Medidor De Sobrepor - Fornecimento E Instalação. Af_07/2025,UN,1.0,153.76,26.93,195.17,195.17,Sim,8
C SINAPI,97362,100,Quadro De Medição Geral De Energia Para Barramento Blindado Com 4 Medidores - Fornecimento E Instalação. Af_07/2025,UN,1.0,1472.69,26.93,1869.28,1869.28,Sim,8
C SINAPI,101560,101,"Cabo De Cobre Flexível Isolado, 10 Mm², 0,6/1,0 Kv, Para Rede Aérea De Distribuição De Energia Elétrica De Baixa Tensão - Fornecimento E Instalação. Af_07/2020",M,1.0,10.4,26.93,13.2,13.2,Sim,8
C SINAPI,101568,102,"Cabo De Cobre Flexível Isolado, 120 Mm², 0,6/1,0 Kv, Para Rede Aérea De Distribuição De Energia Elétrica De Baixa Tensão - Fornecimento E Instalação. Af_07/2020",M,1.0,126.6,26.93,160.69,160.69,Sim,8
C SINAPI,101561,103,"Cabo De Cobre Flexível Isolado, 16 Mm², 0,6/1,0 Kv, Para Rede Aérea De Distribuição De Energia Elétrica De Baixa Tensão - Fornecimento E Instalação. Af_07/2020",M,1.0,16.52,26.93,20.96,20.96,Sim,8
C SINAPI,101562,104,"Cabo De Cobre Flexível Isolado, 25 Mm², 0,6/1,0 Kv, Para Rede Aérea De Distribuição De Energia Elétrica De Baixa Tensão - Fornecimento E Instalação. Af_07/2020",M,1.0,25.57,26.93,32.45,32.45,Sim,8
C SINAPI,101563,105,"Cabo De Cobre Flexível Isolado, 35 Mm², 0,6/1,0 Kv, Para Rede Aérea De Distribuição De Energia Elétrica De Baixa Tensão - Fornecimento E Instalação. Af_07/2020",M,1.0,36.12,26.93,45.84,45.84,Sim,8
C SINAPI,101564,106,"Cabo De Cobre Flexível Isolado, 50 Mm², 0,6/1,0 Kv, Para Rede Aérea De Distribuição De Energia Elétrica De Baixa Tensão - Fornecimento E Instalação. Af_07/2020",M,1.0,53.36,26.93,67.73,67.73,Sim,8
C SINAPI,101565,107,"Cabo De Cobre Flexível Isolado, 70 Mm², 0,6/1,0 Kv, Para Rede Aérea De Distribuição De Energia Elétrica De Baixa Tensão - Fornecimento E Instalação. Af_07/2020",M,1.0,74.6,26.93,94.69,94.69,Sim,8
C SINAPI,101567,108,"Cabo De Cobre Flexível Isolado, 95 Mm², 0,6/1,0 Kv, Para Rede Aérea De Distribuição De Energia Elétrica De Baixa Tensão - Fornecimento E Instalação. Af_07/2020",M,1.0,96.83,26.93,122.91,122.91,Sim,8
C SINAPI,101501,109,"Entrada De Energia Elétrica, Aérea, Bifásica, Com Caixa De Embutir, Cabo De 10 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,1966.4,26.93,2495.95,2495.95,Sim,9
C SINAPI,101502,110,"Entrada De Energia Elétrica, Aérea, Bifásica, Com Caixa De Embutir, Cabo De 16 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,2129.63,26.93,2703.14,2703.14,Sim,9
C SINAPI,101503,111,"Entrada De Energia Elétrica, Aérea, Bifásica, Com Caixa De Embutir, Cabo De 25 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,2158.53,26.93,2739.82,2739.82,Sim,9
C SINAPI,101504,112,"Entrada De Energia Elétrica, Aérea, Bifásica, Com Caixa De Embutir, Cabo De 35 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,2379.92,26.93,3020.82,3020.82,Sim,9
C SINAPI,101497,113,"Entrada De Energia Elétrica, Aérea, Bifásica, Com Caixa De Sobrepor, Cabo De 10 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,1978.64,26.93,2511.48,2511.48,Sim,9
C SINAPI,101498,114,"Entrada De Energia Elétrica, Aérea, Bifásica, Com Caixa De Sobrepor, Cabo De 16 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,2141.88,26.93,2718.68,2718.68,Sim,9
C SINAPI,101499,115,"Entrada De Energia Elétrica, Aérea, Bifásica, Com Caixa De Sobrepor, Cabo De 25 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,2170.77,26.93,2755.36,2755.36,Sim,9
C SINAPI,101500,116,"Entrada De Energia Elétrica, Aérea, Bifásica, Com Caixa De Sobrepor, Cabo De 35 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,2392.16,26.93,3036.36,3036.36,Sim,9
C SINAPI,101493,117,"Entrada De Energia Elétrica, Aérea, Monofásica, Com Caixa De Embutir, Cabo De 10 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,1642.53,26.93,2084.86,2084.86,Sim,9
C SINAPI,101494,118,"Entrada De Energia Elétrica, Aérea, Monofásica, Com Caixa De Embutir, Cabo De 16 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,1750.37,26.93,2221.74,2221.74,Sim,10
C SINAPI,101495,119,"Entrada De Energia Elétrica, Aérea, Monofásica, Com Caixa De Embutir, Cabo De 25 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,1769.46,26.93,2245.97,2245.97,Sim,10
C SINAPI,101496,120,"Entrada De Energia Elétrica, Aérea, Monofásica, Com Caixa De Embutir, Cabo De 35 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,1929.58,26.93,2449.21,2449.21,Sim,10
C SINAPI,101489,121,"Entrada De Energia Elétrica, Aérea, Monofásica, Com Caixa De Sobrepor, Cabo De 10 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,1663.48,26.93,2111.45,2111.45,Sim,10
C SINAPI,101490,122,"Entrada De Energia Elétrica, Aérea, Monofásica, Com Caixa De Sobrepor, Cabo De 16 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,1771.33,26.93,2248.34,2248.34,Sim,10
C SINAPI,101491,123,"Entrada De Energia Elétrica, Aérea, Monofásica, Com Caixa De Sobrepor, Cabo De 25 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,1790.41,26.93,2272.57,2272.57,Sim,10
C SINAPI,101492,124,"Entrada De Energia Elétrica, Aérea, Monofásica, Com Caixa De Sobrepor, Cabo De 35 Mm2 E Disjuntor Din 50A (Não Incluso O Poste De Concreto). Af_07/2020_Ps",UN,1.0,1950.53,26.93,2475.81,2475.81,Sim,10
